epoch,accuracy,learning_rate,loss,sparse_categorical_accuracy,val_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.33004269003868103,0.0005000000237487257,2.5999064445495605,0.33004269003868103,0.33262258768081665,1.6881028413772583,0.33262258768081665
1,0.3220384120941162,0.0005000000237487257,2.3369879722595215,0.3220384120941162,0.33262258768081665,1.733764886856079,0.33262258768081665
2,0.329775869846344,0.0005000000237487257,2.197066307067871,0.329775869846344,0.33262258768081665,1.615265965461731,0.33262258768081665
3,0.33137673139572144,0.0005000000237487257,2.1092519760131836,0.33137673139572144,0.33582088351249695,1.582955002784729,0.33582088351249695
4,0.3449839949607849,0.0005000000237487257,2.040860176086426,0.3449839949607849,0.336887001991272,1.530529260635376,0.336887001991272
5,0.33804696798324585,0.0005000000237487257,2.007877826690674,0.33804696798324585,0.33582088351249695,1.5225958824157715,0.33582088351249695
6,0.33804696798324585,0.0005000000237487257,1.9724104404449463,0.33804696798324585,0.34008529782295227,1.4449809789657593,0.34008529782295227
7,0.33617928624153137,0.0005000000237487257,1.9435627460479736,0.33617928624153137,0.34541577100753784,1.5590314865112305,0.34541577100753784
8,0.3375133275985718,0.0005000000237487257,1.9171323776245117,0.3375133275985718,0.34328359365463257,1.464613914489746,0.34328359365463257
9,0.3463180363178253,0.0005000000237487257,1.876266598701477,0.3463180363178253,0.3443496823310852,1.4244426488876343,0.3443496823310852
10,0.34391674399375916,0.0005000000237487257,1.8656986951828003,0.34391674399375916,0.3443496823310852,1.3981844186782837,0.3443496823310852
11,0.340181440114975,0.0005000000237487257,1.8519313335418701,0.340181440114975,0.34648188948631287,1.4467236995697021,0.34648188948631287
12,0.3415154814720154,0.0005000000237487257,1.82707941532135,0.3415154814720154,0.34541577100753784,1.4143494367599487,0.34541577100753784
13,0.3476520776748657,0.0005000000237487257,1.8133641481399536,0.3476520776748657,0.34221747517585754,1.3834455013275146,0.34221747517585754
14,0.3369797170162201,0.0005000000237487257,1.8106707334518433,0.3369797170162201,0.34648188948631287,1.376707911491394,0.34648188948631287
15,0.3431163430213928,0.0005000000237487257,1.7896122932434082,0.3431163430213928,0.34648188948631287,1.3664612770080566,0.34648188948631287
16,0.3431163430213928,0.0005000000237487257,1.7736859321594238,0.3431163430213928,0.33901917934417725,1.3571555614471436,0.33901917934417725
17,0.33884739875793457,0.0005000000237487257,1.7701117992401123,0.33884739875793457,0.33901917934417725,1.3705464601516724,0.33901917934417725
18,0.3473852574825287,0.0005000000237487257,1.7573851346969604,0.3473852574825287,0.34221747517585754,1.3629604578018188,0.34221747517585754
19,0.3415154814720154,0.0005000000237487257,1.751582145690918,0.3415154814720154,0.34008529782295227,1.3655197620391846,0.34008529782295227
20,0.34204909205436707,0.0005000000237487257,1.7477957010269165,0.34204909205436707,0.34328359365463257,1.3394211530685425,0.34328359365463257
21,0.34258270263671875,0.0005000000237487257,1.7359058856964111,0.34258270263671875,0.34221747517585754,1.308899164199829,0.34221747517585754
22,0.3444503843784332,0.0005000000237487257,1.7287827730178833,0.3444503843784332,0.34648188948631287,1.3203250169754028,0.34648188948631287
23,0.3495197296142578,0.0005000000237487257,1.7208313941955566,0.3495197296142578,0.3443496823310852,1.3079447746276855,0.3443496823310852
